epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7608,2.59604,3.48168,1.91735,0.21572,0.26899,0.16039,0.06852,2.10036,4.56431,1.98451,0.0026,0.0026,0.0766
2,4.91053,1.9397,2.13905,1.50608,0.29678,0.42471,0.25065,0.13043,1.92776,2.66329,1.69068,0.00526502,0.00526502,0.052265
3,6.90906,1.8039,2.0324,1.38659,0.30319,0.44572,0.32453,0.1679,1.84714,2.34012,1.66557,0.0078944,0.0078944,0.0278944
4,8.92387,1.82076,1.9116,1.34331,0.27074,0.45006,0.24903,0.11849,1.88787,2.79056,1.54941,0.009802,0.009802,0.009802
5,10.9007,1.84225,1.95686,1.3648,0.23385,0.40341,0.22851,0.10244,2.1235,3.88059,1.64865,0.009736,0.009736,0.009736
6,12.8769,1.85529,1.88486,1.31962,0.23394,0.41414,0.26235,0.1226,1.97254,2.8601,1.60572,0.00967,0.00967,0.00967
7,14.8621,1.77888,1.80679,1.32397,0.22132,0.38796,0.20903,0.09429,1.96267,3.32066,1.66475,0.009604,0.009604,0.009604
8,16.803,1.79547,1.78751,1.32474,0.30173,0.40422,0.28018,0.12399,2.05345,2.46345,1.64218,0.009538,0.009538,0.009538
9,18.7361,1.78546,1.78151,1.30012,0.36065,0.41309,0.32382,0.14883,1.98398,2.42686,1.66763,0.009472,0.009472,0.009472
10,20.6913,1.74687,1.70112,1.29779,0.29193,0.46971,0.29496,0.13321,2.02335,2.28906,1.62123,0.009406,0.009406,0.009406
11,22.6528,1.70673,1.65976,1.26652,0.37894,0.45428,0.37621,0.19657,1.82129,1.89733,1.56906,0.00934,0.00934,0.00934
12,24.6724,1.73082,1.67486,1.27935,0.38892,0.46753,0.35268,0.1804,1.87944,2.04883,1.57752,0.009274,0.009274,0.009274
13,26.6778,1.70384,1.62941,1.2542,0.3432,0.47326,0.36427,0.17396,1.97507,2.13835,1.55902,0.009208,0.009208,0.009208
14,28.627,1.67654,1.62153,1.24309,0.20913,0.28337,0.1712,0.07464,2.17452,2.75158,1.70021,0.009142,0.009142,0.009142
15,30.5665,1.68033,1.61386,1.26361,0.48734,0.38631,0.39729,0.20202,1.89747,2.14931,1.58519,0.009076,0.009076,0.009076
16,32.5218,1.67056,1.56078,1.23887,0.28049,0.5046,0.24322,0.12588,1.99755,2.87059,1.62667,0.00901,0.00901,0.00901
17,34.5024,1.61995,1.5305,1.22953,0.35856,0.48395,0.34861,0.18842,1.967,2.14471,1.56028,0.008944,0.008944,0.008944
18,36.4789,1.64307,1.52473,1.24079,0.3392,0.37683,0.31886,0.15239,2.01417,2.23658,1.56346,0.008878,0.008878,0.008878
19,38.4363,1.60645,1.49401,1.21868,0.47219,0.49149,0.44307,0.22539,1.82977,1.72977,1.5421,0.008812,0.008812,0.008812
20,40.4116,1.61071,1.48706,1.22397,0.43669,0.49068,0.42593,0.21961,1.80861,1.79437,1.51591,0.008746,0.008746,0.008746
21,42.3556,1.59573,1.48048,1.21506,0.4366,0.48764,0.4201,0.21842,1.77312,1.77305,1.4801,0.00868,0.00868,0.00868
22,44.3445,1.59619,1.44321,1.19061,0.36629,0.47697,0.37709,0.19942,1.86263,2.00649,1.5328,0.008614,0.008614,0.008614
23,46.2969,1.58101,1.44866,1.20314,0.39112,0.42177,0.36329,0.18162,1.91181,2.16132,1.55176,0.008548,0.008548,0.008548
24,48.2344,1.54095,1.3887,1.18742,0.36979,0.43576,0.36394,0.18775,1.81898,2.13675,1.49029,0.008482,0.008482,0.008482
25,50.1621,1.53383,1.40728,1.19308,0.42061,0.51667,0.40533,0.21095,1.78415,1.79939,1.49839,0.008416,0.008416,0.008416
26,52.1682,1.54029,1.39397,1.19323,0.44338,0.52903,0.45349,0.2405,1.79872,1.80896,1.48813,0.00835,0.00835,0.00835
27,54.1418,1.5313,1.38911,1.19147,0.45946,0.52582,0.45414,0.2448,1.73127,1.756,1.43197,0.008284,0.008284,0.008284
28,56.1415,1.5193,1.34598,1.1747,0.44924,0.53894,0.46229,0.25032,1.7161,1.71238,1.44202,0.008218,0.008218,0.008218
29,58.0877,1.52286,1.34642,1.18764,0.53368,0.51666,0.497,0.27892,1.66295,1.64357,1.41515,0.008152,0.008152,0.008152
30,60.1258,1.47164,1.30161,1.16326,0.45375,0.5394,0.47616,0.25752,1.72452,1.61103,1.42755,0.008086,0.008086,0.008086
31,62.0576,1.50264,1.31028,1.16217,0.48816,0.53748,0.47697,0.25791,1.6686,1.55339,1.39969,0.00802,0.00802,0.00802
32,63.9973,1.48273,1.30523,1.16046,0.44937,0.54895,0.47633,0.25429,1.7297,1.72848,1.42631,0.007954,0.007954,0.007954
33,65.9127,1.48958,1.29099,1.14957,0.54788,0.54127,0.52239,0.28629,1.66375,1.54836,1.39266,0.007888,0.007888,0.007888
34,67.9249,1.46117,1.25234,1.14827,0.52032,0.48746,0.47816,0.27176,1.69933,1.62061,1.47096,0.007822,0.007822,0.007822
35,69.9086,1.44595,1.24317,1.14056,0.48734,0.50331,0.46245,0.23689,1.79323,1.65171,1.50898,0.007756,0.007756,0.007756
36,71.857,1.46713,1.24847,1.14095,0.50397,0.55681,0.47039,0.24682,1.66413,1.64911,1.40239,0.00769,0.00769,0.00769
37,73.8234,1.44618,1.23872,1.13998,0.47987,0.55636,0.47354,0.24782,1.73299,1.72274,1.42737,0.007624,0.007624,0.007624
38,75.7586,1.43821,1.23153,1.14085,0.54395,0.58385,0.52666,0.28919,1.67378,1.60439,1.40956,0.007558,0.007558,0.007558
39,77.794,1.41293,1.2,1.11957,0.52047,0.53601,0.49939,0.28098,1.6893,1.64893,1.46346,0.007492,0.007492,0.007492
40,79.7613,1.41513,1.19806,1.13108,0.56065,0.5417,0.49596,0.27614,1.71243,1.71435,1.46657,0.007426,0.007426,0.007426
41,81.6973,1.4292,1.21323,1.13888,0.54949,0.50791,0.5169,0.28714,1.68965,1.66727,1.40934,0.00736,0.00736,0.00736
42,83.6611,1.39714,1.1663,1.1187,0.5148,0.55174,0.48226,0.26384,1.71573,1.75846,1.42086,0.007294,0.007294,0.007294
43,85.6178,1.40076,1.16264,1.12534,0.54833,0.52518,0.47886,0.26328,1.70313,1.72074,1.4273,0.007228,0.007228,0.007228
44,87.5746,1.38024,1.15537,1.11707,0.56244,0.53843,0.5432,0.30618,1.66283,1.56852,1.39559,0.007162,0.007162,0.007162
45,89.5582,1.3708,1.14532,1.10899,0.52171,0.55214,0.49773,0.27719,1.66424,1.60044,1.41302,0.007096,0.007096,0.007096
46,91.5461,1.39236,1.14946,1.12247,0.58278,0.51463,0.50827,0.27982,1.69497,1.63246,1.42716,0.00703,0.00703,0.00703
47,93.5274,1.37668,1.1256,1.10193,0.54675,0.57736,0.53912,0.30053,1.68122,1.56273,1.42165,0.006964,0.006964,0.006964
48,95.4415,1.36294,1.12076,1.09731,0.53264,0.57262,0.53455,0.29283,1.73272,1.71636,1.46112,0.006898,0.006898,0.006898
49,97.3826,1.3496,1.09137,1.0985,0.53772,0.52429,0.50478,0.27244,1.73487,1.72207,1.4443,0.006832,0.006832,0.006832
50,99.399,1.33887,1.09319,1.09166,0.49854,0.57789,0.47484,0.25453,1.73872,1.75198,1.44248,0.006766,0.006766,0.006766
51,101.401,1.37614,1.13544,1.1047,0.59732,0.57897,0.55248,0.30671,1.71429,1.61225,1.43549,0.0067,0.0067,0.0067
52,103.536,1.33776,1.08431,1.096,0.54613,0.58975,0.54001,0.2992,1.67542,1.572,1.41327,0.006634,0.006634,0.006634
53,105.49,1.31537,1.07224,1.0787,0.55098,0.5118,0.50049,0.26504,1.72213,1.6444,1.46254,0.006568,0.006568,0.006568
54,107.437,1.30682,1.05242,1.07525,0.54249,0.55545,0.52854,0.29559,1.67687,1.64502,1.44273,0.006502,0.006502,0.006502
